fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,27,RAJASTHAN,2721,AJMER,9794965,192.100814449908,32,920,2492.15819819,2433,1,16498,9267519,1423036,114287,281056,23443,133.18633,20428.32400649,282392,306334,411492,732353,6,488672,867312,18931,17802.9794783,7582967,20,29.67,49.52,99.95,NA
2024-2025,July,27,RAJASTHAN,2722,TONK,2763656,216.488026741082,33,352,705.384820335,1661,0,14759,2608421,537426,92142,561892,69636,244.31857,6596.622542335,76728,106276,194382,431441,299,295150,655551,16420,5646.919152,1599394,78,51.42,26.42,99.94,NA
2024-2025,July,27,RAJASTHAN,2732,JHALAWAR,5650462,231.113623699465,32,583,4688.55544751,5565,0,23128,6613145,1443808,125038,1053133,88108,205.90424,20178.33873751,203230,283055,312975,579440,4,358418,653935,28693,15283.87905,3767764,47,35.64,42.02,99.96,NA
2024-2025,Aug,27,RAJASTHAN,2701,SRI GANGANAGAR,3721242,197.763599174502,28,575,990.147177736,2794,0,14128,5274879,3073601,259604,13103,1497,104.72239,11526.660130236,182790,207391,261215,494787,30,321417,600206,16922,10431.7905625,3630814,43,67.34,3.79,100.01,NA
2024-2025,Aug,27,RAJASTHAN,2704,CHURU,3145720,200.376485814732,36,301,3782.228773082,2400,0,15776,5368351,1780835,158824,55081,4874,87.86103,14627.002883082,145391,180857,262214,522180,56,365201,717087,18176,10756.91308,3421850,59,53.88,32.75,99.88,NA
2024-2025,Aug,27,RAJASTHAN,2706,ALWAR,2287641,228.441843770505,23,323,657.8390036,1265,13,9451,1562125,554300,105237,228227,56758,102.61288,4328.9990356,67581,75471,196613,364051,15,322690,583570,10716,3568.547152,1204741,32,9.24,62.46,100.04,NA
2024-2025,Aug,27,RAJASTHAN,2709,KARAULI,3436163,232.028996463857,26,222,2068.259068621,1445,5,10208,1068113,271847,75218,241633,80933,132.08282,4678.673763621,39616,53295,171975,312362,4,252983,454674,11653,2478.331875,628290,42,27.68,56.05,100.89,NA
2024-2025,Aug,27,RAJASTHAN,2723,BUNDI,3152820,212.975514862287,30,362,478.605952548,2092,1,8648,2991868,597805,75322,796717,97271,81.00339,6931.55561954801,99696,119080,165535,378786,89,243338,555853,10740,6371.94627700001,2028534,45,37.73,18.67,99.98,NA
2024-2025,Aug,27,RAJASTHAN,2728,BANSWARA,12534987,214.614948001816,35,2676,4454.890325967,5538,2,37593,9483889,363381,29551,7664703,625919,433.74861,25242.482381867,263825,386571,383586,767403,5041,426719,843500,43131,20353.8434459,5698539,53,52.15,26.57,99.97,NA
2024-2025,Aug,27,RAJASTHAN,2732,JHALAWAR,6028981,229.501107114563,34,614,4691.93519751,6644,0,22329,7302135,1585058,125236,1191022,88248,224.51357,21674.92943551,210146,294677,313537,580560,27,359205,655347,28973,16758.480668,4117122,47,38.03,39.72,99.99,NA
2024-2025,Aug,27,RAJASTHAN,2711,DAUSA,1828161,205.344065253854,24,148,475.338190813,762,5,6817,1051708,250421,49661,328733,71636,82.74155,2717.699702613,43365,48918,123713,230627,3,215809,386889,7579,2159.6199618,879211,53,19.47,63.35,99.87,NA
2024-2025,Aug,27,RAJASTHAN,2713,SIKAR,2177255,234.388836088614,32,123,1159.870389408,1028,2,9867,1616532,629641,83105,82445,10567,76.52074,5025.361669208,50145,55173,121719,225414,44,295619,530843,10895,3788.9705398,1228793,56,33.77,47.85,99.96,NA
2024-2025,Aug,27,RAJASTHAN,2716,JAISALMER,2672931,235.740010929034,50,349,4370.95691255399,3369,0,19572,5261215,881052,40059,325156,15623,113.70235,16887.448078554,104955,143672,146045,259751,115,165089,292332,22941,12402.788816,3478174,32,20.9,60.73,99.82,NA
2024-2025,Aug,27,RAJASTHAN,2718,JALORE,4103317,206.93789523837,39,457,2315.411390138,3045,0,12453,4581792,1376495,117207,675384,58944,154.77973,11951.655049138,116481,130999,231891,456390,137,330931,648152,15498,9481.463929,3853216,59,31.51,48.58,99.97,NA
2024-2025,Aug,27,RAJASTHAN,2727,DUNGARPUR,9487361,216.715935456394,49,5229,5338.601304529,3598,0,30474,15663643,418200,20823,11626509,522826,247.93399,39532.145748529,317123,416523,363362,721189,6225,407566,799959,34072,33945.610454,11260597,30,14.33,53.5,99.98,NA
2024-2025,Aug,27,RAJASTHAN,2729,CHITTORGARH,3787310,213.789231967233,37,323,1301.145993608,1087,0,8206,3789643,787143,68810,850140,68904,126.63652,9529.631177608,100623,122371,177627,343973,316,285468,535376,9293,8101.848664,2869853,42,28.09,53.61,99.89,NA
2024-2025,Aug,27,RAJASTHAN,2732,JHALAWAR,6028981,230.334358411557,34,614,5199.286399152,6685,0,22308,7356967,1593625,125245,1202630,88263,224.51357,22369.422707152,210463,295285,313592,580645,27,359290,655472,28993,16945.622738,4144911,47,38.26,39.48,100,NA
2024-2025,Aug,27,RAJASTHAN,2733,PRATAPGARH,7467591,207.335354097138,53,1288,2860.824026917,4295,1,37009,11228642,486480,22765,8727204,341892,83.73054,26225.499217917,210690,317211,252382,457437,17119,285032,510308,41304,23280.944651,6323482,73,42.49,28.83,98.88,NA
2024-2025,Aug,27,RAJASTHAN,2702,HANUMANGARH,3859470,205.261681999132,25,292,813.596666825,2004,0,9923,3426607,1567211,174188,11231,1310,186.79203,8033.899860525,134361,145334,209598,437325,6,288634,596368,11927,7033.5111637,2291752,28,51.2,8.53,99.91,NA
2024-2025,Aug,27,RAJASTHAN,2705,JHUNJHUNU,1740328,197.264383476532,29,100,467.04495982,273,3,6294,675984,366534,70105,16543,4699,85.89679,1886.41741982,23255,24932,84297,165335,1,192121,361590,6567,1333.47567,454095,48,27.38,60.47,99.99,NA
2024-2025,Aug,27,RAJASTHAN,2708,DHOLPUR,1730411,234.190911857804,21,134,628.926691201,567,0,5747,657120,250315,83363,79399,22636,53.29063,2221.132641201,29980,36069,117193,238522,6,207317,413430,6314,1538.91532,410757,44,27.91,46.21,99.99,NA
2024-2025,Aug,27,RAJASTHAN,2712,JAIPUR,2663971,204.189336997371,24,228,631.149224152,2152,16,8084,2025452,514059,106561,283539,60122,157.47462,4924.380854152,82317,86615,247095,444420,12,448385,803423,10236,4135.75701,1800682,36,24.16,59.67,99.97,NA
2024-2025,Aug,27,RAJASTHAN,2718,JALORE,4103317,207.320362936607,35,428,1786.932086864,2604,0,12362,3949946,1181846,116887,578028,58841,140.35992,10116.334389864,110198,123198,231296,455207,22,330725,647704,14966,8189.042383,3317749,59,29.39,50.75,99.97,NA
2024-2025,Aug,27,RAJASTHAN,2721,AJMER,9998508,192.464515447411,33,922,2492.15819819,2487,1,16533,9430545,1446888,114303,287101,23442,133.18633,20775.79726649,283537,308004,411590,732552,7,488925,867817,19020,18150.4527383,7713896,20,29.5,49.45,99.96,NA
2024-2025,Aug,27,RAJASTHAN,2727,DUNGARPUR,9487361,216.205108952322,47,5161,4721.862578691,3230,0,30413,14852047,394210,20793,11041116,522201,228.11155,37060.858526691,315054,411917,362922,720342,4572,407231,799340,33643,32110.884398,10673922,29,13.42,54.67,99.97,NA
