fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,May,27,RAJASTHAN,2704,CHURU,1445038,305.230999147681,20,73,3138.588915388,614,4,15033,775531,227149,156622,7496,4784,35.94812,5541.698055388,38114,46323,257045,512106,0,363888,714668,15647,2367.16102,477839,58,61.47,23.99,99.43,NA
2024-2025,May,27,RAJASTHAN,2705,JHUNJHUNU,625103,236.650012311228,14,38,400.01503982,131,12,5711,146208,69231,69802,4246,4668,26.70628,772.72256982,9827,10375,83771,164969,0,191809,361720,5842,346.00125,94081,50,26.11,58.48,99.82,NA
2024-2025,May,27,RAJASTHAN,2707,BHARATPUR,998764,259.654405897957,14,142,249.2088548,247,57,6730,261243,65406,103134,5053,7922,27.61766,955.1554744,18191,21224,171431,372324,0,377489,792764,6977,678.3289596,174421,42,12.76,48.31,99.77,NA
2024-2025,May,27,RAJASTHAN,2708,DHOLPUR,763742,306.695754408027,15,49,530.312845243,232,2,5763,152676,58051,82685,16598,22483,19.48471,1018.048365243,9662,11888,116279,236528,0,207059,412736,5995,468.25081,90962,44,30.7,45.61,99.71,NA
2024-2025,May,27,RAJASTHAN,2714,NAGAUR,2971017,265.875335143027,18,380,6556.015422229,2199,3,23639,2335570,665023,307646,5315,2486,79.4564,12845.176387229,127560,147172,511042,1101058,0,640387,1371430,25838,6209.704565,1688551,39,9.12,63.25,99.67,NA
2024-2025,May,27,RAJASTHAN,2720,PALI,2122794,197.827330178609,14,168,867.917594615,1925,2,9382,915241,207408,136925,117088,56139,43.5068,2722.021229615,62190,65050,272398,597236,0,400403,863430,11307,1810.596835,774390,34,9.77,45.81,99.82,NA
2024-2025,May,27,RAJASTHAN,2727,DUNGARPUR,4373861,210.13863734068,16,2732,3976.875277591,835,1,29541,3403125,96624,20560,2477872,516840,44.09855,11172.254329591,206704,242803,359434,713254,0,403728,792294,30376,7151.280502,2453478,30,11.97,54.99,99.81,NA
2024-2025,Sep,27,RAJASTHAN,2707,BHARATPUR,2243424,209.855049836188,25,540,886.834154341999,689,0,7425,1833507,499732,107131,24814,8233,106.79671,4841.337892942,71733,86552,177792,386836,11,378578,795329,8114,3847.7070286,1221365,42,13.97,46.58,99.59,NA
2024-2025,Sep,27,RAJASTHAN,2713,SIKAR,2483734,231.993469427342,34,130,1385.260970008,1535,2,9423,1763095,686039,83213,88560,10584,88.84183,5564.368059808,51497,56781,121890,225721,65,295517,530597,10958,4090.2652598,1340253,56,33.9,47.67,99.84,NA
2024-2025,Sep,27,RAJASTHAN,2726,UDAIPUR,9496369,215.015778173794,41,692,5691.101251457,19585,4,26330,9542245,318984,29114,7130850,556123,373.93262,26582.366213457,230783,277478,381250,782513,3752,565691,1144889,45915,20517.332342,6887711,62,23.75,39.66,99.69,NA
2024-2025,Sep,27,RAJASTHAN,2727,DUNGARPUR,10002875,216.645106536727,50,5247,7950.937921285,5755,0,28485,15908927,424534,20830,11801984,522887,266.19145,42683.041219285,317665,417752,363417,721260,6801,407906,800520,34240,34465.911848,11439920,30,14.53,53.24,99.94,NA
2024-2025,Sep,27,RAJASTHAN,2730,KOTA,3521314,202.276102140455,37,464,383.267868608,1134,1,7046,3460666,959162,68847,613802,43995,102.28638,7485.654541508,92585,111978,122125,248028,105,165843,328892,8180,7000.1002929,2431837,40,29.95,28.36,99.93,NA
2024-2025,Sep,27,RAJASTHAN,2731,BARAN,3043662,210.438188227305,33,378,1784.732645589,2832,3,17560,3660691,791913,81881,1039788,116360,172.33194,9660.55640258901,110568,154291,179176,404552,814,273388,608142,20392,7703.49181700001,2205564,73,11.16,57.04,99.9,NA
2024-2025,Sep,27,RAJASTHAN,2732,JHALAWAR,6441905,230.102147067366,35,623,7074.832013064,8706,0,20395,7653649,1651039,125304,1233370,88316,261.47763,24947.520321064,213186,300126,313862,581075,111,359816,656361,29101,17611.210678,4288069,47,39.09,37.63,99.91,NA
2024-2025,Aug,27,RAJASTHAN,2719,SIROHI,4295883,201.970727207256,42,245,623.107197454,2856,0,6268,3746291,964113,71388,1179642,95564,75.35354,8264.871913454,87845,98486,143356,290675,563,197002,392065,9124,7566.411176,3165489,46,30.03,55.32,99.95,NA
2024-2025,Aug,27,RAJASTHAN,2722,TONK,3026759,216.555923015043,35,378,891.008623207,1996,0,14685,2805691,582774,92278,595834,69759,252.42833,7219.326995207,79877,111036,194699,432186,554,295412,656131,16681,6075.890042,1714076,78,50.58,25.74,99.92,NA
2024-2025,Aug,27,RAJASTHAN,2724,BHILWARA,9319512,207.555999827297,32,1026,8424.201987106,4189,1,32324,11372119,2052226,149976,1423389,92653,342.06425,32369.781529106,348090,395851,476489,848112,60,530739,935445,36513,23603.515292,8926731,39,29.09,37.54,99.97,NA
2024-2025,Aug,27,RAJASTHAN,2733,PRATAPGARH,7467591,207.352665584151,53,1288,3087.571102217,4855,1,36490,11230634,486503,22764,8728885,341903,83.73054,26458.320603217,210693,317223,252376,457446,17131,285144,510529,41345,23287.018961,6324804,73,42.37,28.75,98.88,NA
2024-2025,Aug,27,RAJASTHAN,2707,BHARATPUR,2131411,211.44690770422,25,524,725.707543482,483,0,7496,1762865,484877,107049,24165,8228,92.3213,4545.552372982,70312,84497,177659,386509,4,378457,795050,7979,3727.5235295,1180499,42,13.48,47.04,99.9,NA
2024-2025,Aug,27,RAJASTHAN,2709,KARAULI,3436163,235.32925895599,26,222,2664.280156156,1520,4,10139,1071043,272779,75221,242374,80935,132.08282,5316.840531156,39672,53368,171979,312376,4,252996,454707,11659,2520.477555,629912,42,27.76,56,100.88,NA
2024-2025,Aug,27,RAJASTHAN,2710,SAWAI MADHOPUR,2238083,198.883572903912,24,182,563.908997421,2511,3,7483,1212795,294021,79815,272470,84640,105.106,3081.065025421,49288,62239,164983,346731,28,265408,557933,9994,2412.050028,815621,71,32.31,47.8,99.94,NA
2024-2025,Aug,27,RAJASTHAN,2711,DAUSA,1828161,205.28520820115,24,148,475.338190813,793,5,6789,1052828,250893,49668,329057,71636,82.74155,2719.379892613,43409,48966,123722,230645,3,215831,386932,7582,2161.3001518,880249,53,19.54,63.3,99.87,NA
2024-2025,Aug,27,RAJASTHAN,2714,NAGAUR,7989110,225.795813853895,36,983,10266.743227347,4461,2,23653,11694040,3514570,309844,25328,2514,354.18844,37025.584457747,319435,375352,516328,1110551,90,644814,1378081,28114,26404.6527904,8615423,37,10.79,66.16,99.96,NA
2024-2025,Aug,27,RAJASTHAN,2716,JAISALMER,2672931,235.740010929034,50,349,4324.14264555399,3395,0,19547,5261215,881052,40060,325156,15623,113.70235,16840.633811554,104955,143672,146044,259752,115,165125,292402,22942,12402.788816,3478174,32,20.9,60.71,99.82,NA
2024-2025,Aug,27,RAJASTHAN,2719,SIROHI,4295883,201.819258703908,42,245,595.22793385,2792,0,6314,3740044,960701,71384,1179134,95556,75.35354,8218.71054985,87816,98448,143352,290660,563,196976,392005,9106,7548.129076,3160234,46,30.01,55.39,99.95,NA
2024-2025,Aug,27,RAJASTHAN,2722,TONK,3026759,216.525106693505,35,377,875.973245947,1930,0,14740,2801014,581406,92277,595309,69757,252.42833,7193.300127947,79802,110914,194681,432143,554,295388,656093,16670,6064.898552,1711981,78,50.54,25.77,99.91,NA
2024-2025,Aug,27,RAJASTHAN,2730,KOTA,3365207,202.349493929547,37,458,283.382528608,1014,1,7076,3435411,953600,68837,608996,43992,90.2694,7325.188701508,92333,111605,122076,247933,91,165678,328601,8090,6951.5367729,2414870,40,29.59,28.52,99.97,NA
2024-2025,Aug,27,RAJASTHAN,2731,BARAN,2898091,210.278131526663,32,377,1657.991791489,2283,3,17923,3617852,786669,81892,1019845,116314,157.26149,9422.804868489,110095,153508,179113,404465,465,272827,607126,20206,7607.551587,2185941,73,11.18,57.68,99.94,NA
2024-2025,Aug,27,RAJASTHAN,2732,JHALAWAR,6028981,230.81663637573,35,615,5199.286399152,6729,0,22267,7404305,1600560,125248,1205743,88262,224.51357,22514.167717152,210971,296166,313607,580666,59,359322,655525,28996,17090.367748,4167061,47,38.33,39.12,100,NA
2024-2025,Aug,27,RAJASTHAN,2733,PRATAPGARH,7467591,207.366024962132,53,1288,2859.113926917,4474,1,36859,11228688,486493,22764,8727237,341896,83.73054,26227.328427917,210688,317209,252379,457442,17119,285067,510388,41333,23284.483961,6323521,73,42.49,28.83,98.88,NA
2024-2025,Aug,27,RAJASTHAN,2706,ALWAR,2287641,227.102638825739,23,327,657.8390036,1269,13,9459,1594535,562854,105244,233089,56762,102.61288,4381.6829456,68468,76542,196653,364128,15,322702,583598,10728,3621.231062,1228501,32,9.41,62.69,100.04,NA
2024-2025,Aug,27,RAJASTHAN,2709,KARAULI,3436163,235.385902527819,26,222,2068.259068621,1452,5,10205,1069064,272241,75219,241715,80933,132.08282,4716.767833621,39638,53322,171975,312363,4,252988,454685,11657,2516.425945,628869,42,27.69,56.05,100.88,NA
2024-2025,Aug,27,RAJASTHAN,2710,SAWAI MADHOPUR,2238083,198.944397153973,24,181,448.589609021,2376,3,7613,1209546,293205,79810,271671,84640,105.106,2960.019607021,49224,62155,164981,346723,28,265371,557860,9989,2406.323998,813841,71,32.22,47.92,99.94,NA
2024-2025,Aug,27,RAJASTHAN,2711,DAUSA,1828161,205.394393239237,24,148,379.226840056,748,6,6827,1050414,250114,49647,328573,71636,82.74155,2619.459851856,43335,48875,123704,230598,3,215782,386843,7575,2157.4914618,878218,53,19.44,63.36,99.87,NA
2024-2025,Aug,27,RAJASTHAN,2728,BANSWARA,12534987,215.126309315546,35,2676,4454.890325967,5543,2,37593,9490619,363862,29552,7670267,625926,433.74861,25305.457321867,263879,386680,383591,767415,5062,426735,843535,43136,20416.8183859,5702517,53,52.16,26.55,99.98,NA
2024-2025,Aug,27,RAJASTHAN,2729,CHITTORGARH,3787310,213.851185811617,37,323,864.432140308,1080,0,8181,3776949,784425,68809,848222,68904,126.63652,9068.118884308,100513,122181,177617,343959,296,285464,535369,9261,8077.050224,2862705,42,27.95,53.76,99.89,NA
2024-2025,Aug,27,RAJASTHAN,2730,KOTA,3365207,202.317460045249,37,457,234.592978408,1012,1,7059,3424624,950520,68829,606879,43986,90.2694,7253.474671308,92119,111290,122067,247917,86,165659,328556,8071,6928.6122929,2409353,39,29.49,28.54,99.97,NA
2024-2025,Sep,27,RAJASTHAN,2703,BIKANER,5393455,258.860159921682,32,461,11735.872240607,3316,0,26109,4151282,1525180,204561,37509,4374,161.50114,22643.388604607,126095,177077,298584,564238,147,408844,770258,29425,10746.015224,2172506,46,43.44,23.64,99.63,NA
2024-2025,Sep,27,RAJASTHAN,2704,CHURU,3445661,202.318501460111,38,304,6268.41320461001,3029,0,15338,5604709,1835826,158948,57088,4874,95.43759,17703.21405461,147084,183556,262585,522941,102,365424,717562,18367,11339.36326,3550056,59,55.3,31.04,99.67,NA
2024-2025,Sep,27,RAJASTHAN,2707,BHARATPUR,2243424,211.287749917494,25,538,886.834154341999,659,0,7425,1818040,496419,107120,24743,8229,106.79671,4834.926672942,71475,86172,177761,386752,11,378527,795216,8084,3841.2958086,1212412,42,13.92,46.45,99.59,NA
2024-2025,Sep,27,RAJASTHAN,2710,SAWAI MADHOPUR,2461211,198.723497734486,24,183,735.449342689,2981,3,7108,1224667,296264,79813,274418,84605,126.18802,3295.338460689,49472,62527,164993,346721,29,265525,558127,10089,2433.701098,821787,71,32.46,47.08,99.78,NA
2024-2025,Sep,27,RAJASTHAN,2721,AJMER,10221645,193.325595137317,34,937,4345.687936477,3208,1,16017,9820011,1492691,114387,299345,23444,154.52021,23484.802854777,287429,313122,411808,732945,20,489432,868856,19225,18984.5947083,8021676,20,28.6,48.29,99.78,NA
2024-2025,Sep,27,RAJASTHAN,2724,BHILWARA,9857306,207.462855763858,32,1027,9481.344367106,5057,1,31534,11432724,2064545,149990,1428354,92665,367.80101,33567.801079106,348437,396477,476530,848216,90,530966,935881,36591,23718.655702,8968611,39,29.16,37.12,99.88,NA
2024-2025,Sep,27,RAJASTHAN,2725,RAJSAMAND,6564590,206.202189146439,41,860,1681.412800994,1485,0,8723,5388904,1036328,65457,830843,61493,160.5205,12953.971319994,130969,141726,199554,368919,265,249536,453341,10208,11112.038019,4628169,28,23.21,63.27,99.68,NA
2024-2025,Sep,27,RAJASTHAN,2729,CHITTORGARH,3981652,213.529278336445,37,325,1547.66667347,1315,0,8046,3839296,794887,68829,864127,68918,143.99939,9889.68710547,101085,123108,177715,344158,378,285583,535641,9361,8198.021042,2898543,42,28.48,52.96,99.66,NA
2024-2025,April,27,RAJASTHAN,2701,SRI GANGANAGAR,398669,596.442484091116,10,45,235.10418,309,0,13662,186531,106313,256938,598,1448,50.69844,1398.35275,17525,19403,257653,488700,0,318568,595377,13971,1112.55013,130464,48,68.01,4.28,100,NA
2024-2025,April,27,RAJASTHAN,2708,DHOLPUR,294183,526.336790463485,13,13,61.99498,87,14,5898,46474,19203,82613,5445,22463,19.48471,326.08945,3366,4253,116150,236223,0,206966,412505,5985,244.60976,27986,44,39.61,31.1,100,NA
2024-2025,April,27,RAJASTHAN,2712,JAIPUR,393625,374.175016966315,9,27,98.90765,204,102,9660,92831,22962,105633,13892,59105,64.52278,510.78084,10233,10611,244171,439947,0,447713,803063,9864,347.35041,79630,36,14.96,69.34,100,NA
2024-2025,April,27,RAJASTHAN,2719,SIROHI,701631,394.920392766933,8,14,104.20256,79,4,7366,59781,14925,70710,21199,94882,28.12759,368.41751,6667,6934,141974,288034,0,196288,390895,7445,236.08736,51159,46,29.38,60.96,100,NA
2024-2025,April,27,RAJASTHAN,2733,PRATAPGARH,1348139,256.239568572741,14,451,138.31651,842,3,36162,1186295,57089,21867,888211,328451,28.31897,3206.39267,81318,111264,242469,437519,0,275107,489843,37004,3039.75719,654805,73,53.98,24.56,100,NA
2024-2025,April,27,RAJASTHAN,2707,BHARATPUR,370746,397.32574047318,13,36,30.91092,30,170,6906,44296,9369,102641,844,7888,27.61766,234.52799,3340,4095,170506,370612,0,377408,792918,6936,175.99941,26448,43,21.31,49.44,100,NA
2024-2025,April,27,RAJASTHAN,2709,KARAULI,338930,1258.46883779987,14,7,112.05332,90,44,11033,37016,6658,73988,5069,80113,34.21365,612.101795,2547,3352,169573,308270,0,251944,453313,11123,465.834825,21301,41,9.96,63.53,100,NA
2024-2025,April,27,RAJASTHAN,2710,SAWAI MADHOPUR,341214,364.697593467985,14,13,56.63864,249,37,8874,46540,11312,78702,9653,83370,29.72672,256.09562,3308,4419,161856,340871,0,264800,557655,9123,169.73026,26944,70,33.38,32.26,100,NA
2024-2025,April,27,RAJASTHAN,2711,DAUSA,239435,441.154933583444,11,13,43.19056,73,35,6775,65571,17392,48613,16996,69560,26.38835,358.8486115,5698,6375,121013,225002,0,214481,383749,6848,289.2697015,53012,53,24.46,54.96,100,NA
2024-2025,April,27,RAJASTHAN,2719,SIROHI,701631,335.211434528267,9,23,104.20256,99,2,7346,98806,24053,70721,40494,94893,28.12759,463.53916,10554,11108,141992,288078,0,196289,390905,7445,331.20901,82182,46,35.52,47.24,100,NA
2024-2025,April,27,RAJASTHAN,2722,TONK,499206,329.432144528613,17,82,157.81958,200,2,15415,241447,51342,90621,71056,67929,30.96396,984.18757,14154,20574,190330,422501,0,294552,654403,15615,795.40403,134060,78,64.92,14.39,100,NA
2024-2025,April,27,RAJASTHAN,2725,RAJSAMAND,988782,361.778159505364,9,126,185.28443,430,2,8407,191818,35210,64803,43240,60876,45.98492,925.22498,20710,21464,197303,364391,0,247891,449947,8837,693.95563,160076,27,26.95,59.59,100,NA
2024-2025,May,27,RAJASTHAN,2702,HANUMANGARH,575831,1871.28547234136,10,19,73.70487,636,4,9355,45465,13415,172935,111,1315,57.1731,981.65791,4153,4871,206817,432657,0,286562,593430,9991,850.77994,28342,32,34.12,11.4,99.99,NA
2024-2025,May,27,RAJASTHAN,2713,SIKAR,745117,445.941307056142,10,47,184.86439,165,8,9321,150904,47298,85332,6135,10896,21.03686,878.84452,13745,14931,119853,230066,0,310343,578778,9486,672.94327,104880,57,41.72,37.71,100,NA
2024-2025,May,27,RAJASTHAN,2717,BARMER,9252176,516.452564980867,18,219,892.8697098,1744,5,105089,1380868,205402,177429,78767,70080,95.69899,8120.0969048,75540,114386,576731,1099604,0,677275,1287229,106833,7131.528205,785082,92,72.95,9.87,100,NA
2024-2025,May,27,RAJASTHAN,2723,BUNDI,1596676,551.777702874609,11,35,29.5748296,404,3,9102,113198,23555,73842,30562,94493,26.99895,681.1751037,9557,10805,160796,369071,0,242436,555182,9506,624.6013241,74569,48,29.11,19.22,100,NA
2024-2025,May,27,RAJASTHAN,2724,BHILWARA,3945997,485.678383191532,11,98,167.22061,469,13,34082,439112,80939,148236,68398,91435,68.33489,2368.227562,39251,43469,471328,838484,0,526478,927088,34551,2132.672062,330720,38,30.77,34.08,100,NA
2024-2025,May,27,RAJASTHAN,2730,KOTA,2056366,293.601948081619,10,93,55.63758,80,1,7219,196963,56420,67421,25733,42809,26.90782,660.832605,19317,20729,119162,241886,0,164379,325497,7299,578.287205,158836,41,14.51,44.67,100,NA
2024-2025,May,27,RAJASTHAN,2731,BARAN,1633711,380.873263169189,13,52,64.61473,134,8,13986,205043,42697,79862,59771,111788,44.85872,890.427415,15623,19752,173428,391583,0,270615,602265,14120,780.953965,127350,65,7.71,59.57,99.99,NA
2024-2025,May,27,RAJASTHAN,2701,SRI GANGANAGAR,1089252,419.998551143365,12,76,235.10418,577,0,13421,353037,200730,256717,1195,1447,50.69844,1768.552905,27935,31353,257633,488297,0,318566,595004,13998,1482.750285,241917,48,66.46,3.64,99.15,NA
2024-2025,May,27,RAJASTHAN,2704,CHURU,1445038,403.044962211215,17,49,243.69873,349,11,15255,442327,120594,156650,3900,4781,35.94812,2062.42354,24919,30712,256776,512048,0,363849,715085,15604,1782.77669,262713,58,66.84,18.28,99.65,NA
2024-2025,May,27,RAJASTHAN,2706,ALWAR,892190,335.114619773202,12,82,266.764076507,458,29,9175,170372,58636,103442,25988,55894,33.25547,870.961026507,13956,15346,193183,357901,0,321483,581471,9633,570.94148,125316,32,7.56,61.39,99.63,NA
2024-2025,May,27,RAJASTHAN,2707,BHARATPUR,998764,385.365430759472,14,61,251.306734,182,71,6764,108773,22724,102754,2623,7902,27.61766,698.097934,7539,9037,170753,370890,0,377400,792633,6946,419.17354,68166,43,21.54,47.05,99.88,NA
2024-2025,May,27,RAJASTHAN,2712,JAIPUR,1077689,273.836617005565,12,48,99.06668,522,70,9366,262714,63887,105541,37957,59123,64.52278,882.99659,20704,21538,244166,439522,0,447469,802200,9888,719.40713,228207,36,17.96,64.81,99.73,NA
2024-2025,May,27,RAJASTHAN,2716,JAISALMER,815577,215.524635728245,19,116,358.60526,618,5,18387,687193,119573,39326,41026,15309,25.56544,1865.24091,35938,46714,143226,254211,0,162502,287190,19005,1481.07021,435785,32,28.64,51.66,99.35,NA
2024-2025,May,27,RAJASTHAN,2722,TONK,1270669,234.297411521571,20,116,157.81958,411,0,15230,483875,95825,90669,138855,68079,30.96396,1322.49014,23771,33841,190613,422982,0,294597,654367,15641,1133.7066,271481,78,63.4,16.78,99.55,NA
2024-2025,May,27,RAJASTHAN,2733,PRATAPGARH,3707497,225.274782339738,20,680,225.7502135,1083,2,36127,2654366,123586,21995,2002488,329933,28.31897,6233.6864125,128315,179626,243673,439999,1,276087,491938,37210,5979.617229,1475997,73,49.42,26.07,99.78,NA
2024-2025,May,27,RAJASTHAN,2701,SRI GANGANAGAR,1089252,391.271426306315,12,73,235.10418,532,0,13464,321649,185640,256833,1102,1449,50.69844,1544.32325,26115,29093,257680,488578,0,318602,595267,13996,1258.52063,222918,48,67.88,3.91,98.27,NA
2024-2025,May,27,RAJASTHAN,2710,SAWAI MADHOPUR,886074,270.845257169736,13,15,58.78886,423,36,8727,68029,18496,78619,13688,83188,29.72672,272.7689,5051,6411,161831,340205,0,264746,556923,9150,184.25332,41629,70,29.25,40.55,99.44,NA
2024-2025,May,27,RAJASTHAN,2718,JALORE,1446107,275.323689168505,12,158,293.50483,633,8,13438,503707,146729,115145,54839,57936,32.44653,1712.776055,39773,43224,228411,448976,0,328950,643785,14071,1386.824695,413855,60,24.37,50.09,99.52,NA
2024-2025,May,27,RAJASTHAN,2719,SIROHI,1647435,286.369613537362,10,25,104.20256,376,2,7107,143248,36660,70694,54580,94863,28.12759,542.548894,13322,14090,141992,288020,0,196314,390884,7483,410.218744,119975,46,35.38,50.58,99.63,NA
2024-2025,May,27,RAJASTHAN,2729,CHITTORGARH,1765117,282.562678335413,11,87,70.34726,347,6,7676,323828,64218,66659,75915,67309,46.13186,1031.49619,27656,30985,172068,332970,0,283951,532241,8023,915.01707,242539,47,26.86,55.13,99.29,NA
2024-2025,May,27,RAJASTHAN,2730,KOTA,2056366,254.495903122017,10,108,55.63758,111,1,7190,259832,75187,67467,38922,42850,26.90782,743.807195,24365,26169,119220,242060,0,164416,325643,7301,661.261795,203121,41,21.93,38.34,99.78,NA
2024-2025,April,27,RAJASTHAN,2701,SRI GANGANAGAR,398669,154499.34,13,0,235.10418,268,0,13676,500,10,256890,0,1447,50.69844,1058.29932,37,61,257563,488591,0,318567,595423,13944,772.4967,260,48,2.63,0,0,NA
2024-2025,April,27,RAJASTHAN,2714,NAGAUR,1447882,55561.6235645384,7,1,796.1132,610,16,25352,4354,1352,307738,6,2494,79.4564,3294.72269,574,800,510236,1100782,0,639993,1372139,25962,2419.15309,2659,39,17.22,5.72,100,NA
2024-2025,April,27,RAJASTHAN,2720,PALI,835152,5024.4795440506,4,8,182.51104,565,9,10613,6799,2312,136734,302,56093,43.5068,567.6322042,1432,1489,271778,596204,0,400415,863708,11178,341.6143642,5691,34,13.89,26.55,100,NA
2024-2025,April,27,RAJASTHAN,2731,BARAN,625366,8202.49590536852,8,1,64.61473,10,19,13762,2198,256,79792,1538,111595,44.85872,289.76431,255,331,173170,391104,0,270481,602052,13772,180.29086,1257,64,11.35,0.15,100,NA
2024-2025,April,27,RAJASTHAN,2703,BIKANER,973635,2517.25802050786,15,18,325.38432,197,32,23786,45446,12695,202747,181,4318,37.7072,1507.0846,2996,4095,294742,557492,0,405980,765626,23983,1143.99308,21860,43,43.57,27.48,100,NA
2024-2025,April,27,RAJASTHAN,2705,JHUNJHUNU,242198,2299.86930740038,7,3,77.05657,1,25,5802,4216,2246,69805,61,4668,26.70628,200.72534,548,588,83615,164874,0,191815,361926,5803,96.96249,2861,50,39.07,30.67,100,NA
2024-2025,April,27,RAJASTHAN,2720,PALI,835152,1983.37917827756,5,15,182.51104,780,9,10407,18230,5813,136705,1004,56092,43.5068,587.5878642,3093,3201,271767,596108,0,400348,863501,11187,361.5700242,15130,34,20.99,33.16,100,NA
2024-2025,April,27,RAJASTHAN,2727,DUNGARPUR,1569949,6587.41111839948,7,22,332.07105,10,23,30309,12196,125,20528,8484,515637,44.09855,1179.57026,1672,1824,358422,711740,0,403113,791473,30319,803.40066,8082,29,25.78,36.26,100,NA
2024-2025,April,27,RAJASTHAN,2702,HANUMANGARH,188140,2346.49949253299,10,18,73.70487,578,6,9413,34485,10747,172972,70,1315,57.1731,940.06832,3385,3936,206812,432721,0,286559,593510,9991,809.19035,22296,32,25.9,6.95,100,NA
2024-2025,April,27,RAJASTHAN,2708,DHOLPUR,294183,504.836516126744,14,16,61.99498,104,10,5881,56397,22004,82619,5491,22463,19.48471,366.19234,4008,5108,116160,236252,0,206966,412518,5985,284.71265,32939,44,33.41,40.24,100,NA
2024-2025,April,27,RAJASTHAN,2729,CHITTORGARH,735811,358.310971835722,10,63,70.34726,225,11,7768,205189,42526,66600,50649,67322,46.13186,851.69382,20238,22535,171899,332795,0,283874,532267,7993,735.2147,151460,47,26.63,55.22,100,NA
2024-2025,April,27,RAJASTHAN,2730,KOTA,652751,271.752892793663,9,88,55.63758,65,2,7234,167658,47707,67384,21031,42795,26.90782,538.160865,16972,18215,119125,241797,0,164359,325424,7299,455.615465,137444,41,15.73,46.58,100,NA
2024-2025,April,27,RAJASTHAN,2704,CHURU,654238,562.915657168481,13,14,243.69873,160,19,15420,151643,37969,156858,1171,4794,35.94812,1133.26904,10860,13269,256502,512678,0,363891,716344,15580,853.62219,87497,58,74.22,11.25,100,NA
2024-2025,April,27,RAJASTHAN,2711,DAUSA,239435,457.44136627354,11,13,43.19056,71,35,6777,63084,16596,48613,16284,69561,26.38835,358.1512215,5526,6147,121011,225000,0,214480,383745,6848,288.5723115,51525,53,25.5,56.15,100,NA
2024-2025,April,27,RAJASTHAN,2720,PALI,835152,346.102706392716,9,71,183.6868,1378,7,9850,209770,41941,136753,17265,56098,43.5068,953.2132472,23025,23891,271992,596510,0,400357,863474,11228,726.0196472,175624,34,9.08,45.93,100,NA
2024-2025,April,27,RAJASTHAN,2722,TONK,499206,333.3878561224,17,80,157.81958,152,2,15460,228889,47872,90611,68084,67916,30.96396,951.87167,13391,19476,190308,422450,0,294552,654408,15612,763.08813,126727,78,64.49,14.43,100,NA
2024-2025,April,27,RAJASTHAN,2724,BHILWARA,1642637,721.190778063236,11,44,167.22061,401,19,34101,215638,41103,148187,38955,91395,68.33489,1790.71687,19444,21790,471177,838237,0,526451,927053,34502,1555.16137,162574,38,31.7,33.98,100,NA
2024-2025,April,27,RAJASTHAN,2732,JHALAWAR,975647,726.588073962818,12,72,431.66377,155,3,25039,288956,64578,122842,47848,86600,61.81039,2592.993995,22262,28041,307312,568924,0,354520,646832,25194,2099.519835,167225,46,36.96,42.03,100,NA
2024-2025,April,27,RAJASTHAN,2701,SRI GANGANAGAR,398669,529.136003708855,10,39,235.10418,275,0,13690,161775,94909,256943,564,1448,50.69844,1141.81239,15377,16901,257641,488715,0,318571,595419,13965,856.00977,115343,48,65.84,3.89,100,NA
2024-2025,April,27,RAJASTHAN,2707,BHARATPUR,370746,1103.70147161878,10,17,30.91092,26,208,6904,7135,2066,102533,357,7888,27.61766,137.27768,686,752,170373,370319,0,377378,792893,6930,78.7491,4840,43,7.37,68.7,100,NA
2024-2025,April,27,RAJASTHAN,2711,DAUSA,239435,642.833798040693,11,5,43.19056,59,44,6776,26540,7684,48568,5895,69492,26.38835,240.187,2284,2525,120891,224807,0,214477,383739,6835,170.60809,22278,53,20.7,64.01,100,NA
2024-2025,April,27,RAJASTHAN,2714,NAGAUR,1447882,1257.97788411011,11,57,800.85575,717,15,25258,197912,56281,307762,603,2496,79.4564,3370.00134,17329,19696,510316,1100893,0,640073,1372234,25975,2489.68919,145032,39,9.52,52.64,100,NA
2024-2025,April,27,RAJASTHAN,2719,SIROHI,701631,578.289286826534,8,6,104.20256,78,4,7367,32110,8644,70701,8295,94885,28.12759,318.01884,3752,3883,141965,288022,0,196280,390887,7445,185.68869,28081,46,24.93,63.5,100,NA
2024-2025,April,27,RAJASTHAN,2729,CHITTORGARH,735811,545.966288606473,9,22,70.34726,180,20,7803,54136,11451,66522,12563,67265,46.13186,412.04343,5960,6515,171710,332453,0,283846,532228,7983,295.56431,41573,47,29.04,48.02,100,NA
